Date,Coin,Qty,Side,Price,Note
03/08 03:29:02,KRW-NEAR,1.50219308,sell,12040.0,Sell-4: 12064<12270and12050.0<12064
03/08 03:29:18,KRW-NEAR,0.8312551953449709,buy,12030.0,Bollinger Band Upper
03/08 03:29:30,KRW-NEAR,1.50070402,sell,12030.0,Sell-4: 12062<12269and12040.0<12062
03/08 03:29:45,KRW-NEAR,0.831946755407654,buy,12030.0,Bollinger Band Upper
03/08 03:29:59,KRW-NEAR,1.49797124,sell,12040.0,Sell-4: 12064<12270and12040.0<12064
03/08 03:30:09,KRW-WAVES,0.3702332469455757,buy,27010.0,Buy-2: KRW-WAVES / 26850 > 26765 and 77.4 <= 60 
03/08 03:50:04,KRW-WAVES,0.66621606,sell,26700.0,Sell-4: 26762<26780and26710.0<26762
03/08 04:35:59,KRW-NEAR,0.8396305625524769,buy,11910.0,Bollinger Band Upper
03/08 04:36:13,KRW-NEAR,1.48837267,sell,11920.0,Sell-4: 12014<12068and11940.0<12014
03/08 04:36:42,KRW-NEAR,0.8396305625524769,buy,11910.0,Bollinger Band Upper
03/08 04:36:55,KRW-NEAR,1.48566121,sell,11900.0,Sell-4: 12010<12066and11910.0<12010
03/08 04:37:11,KRW-NEAR,0.8424599831508003,buy,11870.0,Bollinger Band Upper
03/08 04:37:24,KRW-NEAR,1.48794534,sell,11870.0,Sell-4: 12004<12065and11870.0<12004
03/08 04:37:40,KRW-NEAR,0.8445945945945946,buy,11840.0,Bollinger Band Upper
03/08 04:37:53,KRW-NEAR,1.48647643,sell,11900.0,Sell-4: 12010<12066and11900.0<12010
03/08 04:38:08,KRW-POLY,21.008403361344538,buy,476.0,Bollinger Band Upper
03/08 04:38:20,KRW-POLY,36.90704644,sell,478.0,Sell-4: 481<483and478.0<481
03/08 04:38:36,KRW-POLY,20.964360587002098,buy,477.0,Bollinger Band Upper
03/08 04:38:50,KRW-POLY,36.7167502,sell,479.0,Sell-4: 481<483and480.0<481
03/08 04:38:52,KRW-NEAR,0.8410428931875525,buy,11890.0,Bollinger Band Upper
03/08 04:39:05,KRW-NEAR,1.47768365,sell,11870.0,Sell-4: 12004<12065and11890.0<12004
03/08 04:39:21,KRW-NEAR,0.8417508417508418,buy,11890.0,Bollinger Band Upper
03/08 04:39:34,KRW-NEAR,1.47374142,sell,11860.0,Sell-4: 12002<12064and11870.0<12002
03/08 04:39:50,KRW-NEAR,0.8438818565400844,buy,11850.0,Bollinger Band Upper
03/08 04:40:04,KRW-NEAR,1.46981674,sell,11850.0,Sell-4: 11952<12050and11870.0<11952
03/08 04:40:20,KRW-NEAR,0.8424599831508003,buy,11870.0,Bollinger Band Upper
03/08 04:40:33,KRW-NEAR,1.46342561,sell,11890.0,Sell-4: 11960<12052and11890.0<11960
03/08 04:40:49,KRW-NEAR,0.8417508417508418,buy,11880.0,Bollinger Band Upper
03/08 04:41:02,KRW-NEAR,1.46074547,sell,11900.0,Sell-4: 11962<12053and11910.0<11962
03/08 04:41:18,KRW-NEAR,0.8403361344537815,buy,11900.0,Bollinger Band Upper
03/08 04:41:31,KRW-NEAR,1.4568415,sell,11900.0,Sell-4: 11962<12053and11910.0<11962
03/08 04:41:48,KRW-NEAR,0.8410428931875525,buy,11890.0,Bollinger Band Upper
03/08 04:42:01,KRW-NEAR,1.45540297,sell,11870.0,Sell-4: 11956<12052and11870.0<11956
03/08 04:42:17,KRW-NEAR,0.8438818565400844,buy,11850.0,Bollinger Band Upper
03/08 04:42:29,KRW-NEAR,1.45397142,sell,11860.0,Sell-4: 11954<12051and11880.0<11954
03/08 04:42:44,KRW-NEAR,0.8410428931875525,buy,11890.0,Bollinger Band Upper
03/08 04:42:57,KRW-NEAR,1.44885981,sell,11880.0,Sell-4: 11958<12052and11880.0<11958
03/08 04:43:15,KRW-NEAR,0.8417508417508418,buy,11880.0,Bollinger Band Upper
03/08 04:43:28,KRW-NEAR,1.44499794,sell,11880.0,Sell-4: 11958<12052and11890.0<11958
03/08 04:43:44,KRW-NEAR,0.8431703204047217,buy,11860.0,Bollinger Band Upper
03/08 04:43:57,KRW-NEAR,1.44235053,sell,11860.0,Sell-4: 11954<12051and11860.0<11954
03/08 04:44:14,KRW-NEAR,0.8431703204047217,buy,11860.0,Bollinger Band Upper
03/08 04:44:27,KRW-NEAR,1.43971688,sell,11850.0,Sell-4: 11952<12050and11870.0<11952
03/08 04:44:43,KRW-NEAR,0.8431703204047217,buy,11860.0,Bollinger Band Upper
03/08 04:44:56,KRW-NEAR,1.43586642,sell,11860.0,Sell-4: 11954<12051and11870.0<11954
03/08 04:45:12,KRW-NEAR,0.8438818565400844,buy,11850.0,Bollinger Band Upper
03/08 04:45:25,KRW-NEAR,1.43444865,sell,11850.0,Sell-4: 11910<12039and11870.0<11910
03/08 04:45:42,KRW-NEAR,0.8424599831508003,buy,11870.0,Bollinger Band Upper
03/08 04:45:54,KRW-NEAR,1.42940263,sell,11880.0,Sell-4: 11916<12040and11890.0<11916
